date,k18,k21,k22,traditional,Log_Returns
2007-03-07,1326.0,1547.0,1620.0,1372.0,
2007-03-08,1324.8951522332075,1546.4364200296732,1619.3646395443157,1372.0147199226103,1.0728749014150312e-05
2007-03-09,1323.9640409458582,1546.0349870739317,1618.9018314393456,1372.1566198599041,0.00010341915270610764
2007-03-10,1323.2036375675798,1545.7926880207535,1618.6083754360745,1372.423230278624,0.00019428140853320478
2007-03-11,1322.6109135280008,1545.7065097581194,1618.4810712854876,1372.8120816455125,0.0002832918313413623
2007-03-12,1322.182840256748,1545.773439174009,1618.5167187385682,1373.3207044273117,0.0003704284003998284
2007-03-13,1321.9163891834494,1545.9904631564007,1618.7121175463017,1373.9466290907646,0.0004556707435398045
2007-03-14,1321.8085317377327,1546.3545685932743,1619.0640674596718,1374.6873861026133,0.0005390001183771528
2007-03-15,1321.8562393492248,1546.8627423726093,1619.5693682296635,1375.5405059296004,0.0006203993907720992
2007-03-16,1322.0564834475545,1547.5119713823856,1620.2248196072617,1376.5035190384679,0.0006998530106618399
2007-03-17,1322.4062354623484,1548.2992425105813,1621.0272213434494,1377.5739558959588,0.000777346985432227
2007-03-18,1322.9024668232348,1549.2215426451774,1621.973373189212,1378.749346968815,0.0008528688509664094
2007-03-19,1323.5421489598407,1550.275858674152,1623.0600748955335,1380.0272227237797,0.0009264076405432433
2007-03-20,1324.3222533017943,1551.459177485485,1624.2841262133988,1381.4051136275943,0.00099795385172469
2007-03-21,1325.2397512787231,1552.7684859671558,1625.6423268937922,1382.8805501470022,0.001067499411406609
2007-03-22,1326.2916143202547,1554.2007710071446,1627.1314766876988,1384.4510627487455,0.0011350376391711214
2007-03-23,1327.4748138560162,1555.7530194934288,1628.7483753461013,1386.1141818995661,0.001200563209110386
2007-03-24,1328.7863213156359,1557.4222183139898,1630.4898226199853,1387.8674380662071,0.0012640721102687563
2007-03-25,1330.2231081287412,1559.2053543568063,1632.3526182603355,1389.708361715411,0.0013255616058491437
2007-03-26,1331.7821457249597,1561.0994145098573,1634.3335620181358,1391.63448331392,0.0013850301913402988
2007-03-27,1333.4604055339191,1563.1013856611228,1636.4294536443713,1393.6433333284765,0.0014424775517028758
2007-03-28,1335.254858985247,1565.2082546985814,1638.6370928900258,1395.7324422258228,0.001497904517755737
2007-03-29,1337.1624775085709,1567.4170085102137,1640.9532795060836,1397.8993404727016,0.00155131302189869
2007-03-30,1339.1802325335186,1569.7246339839985,1643.37481324353,1400.1415585358552,0.0016027060533012692
2007-03-31,1341.3050954897176,1572.128118007915,1645.8984938533486,1402.456626882026,0.001652087612685494
