Date,Value,Rate_Log_Returns
2013-01-31,78.85,-0.0063211335633707125
2013-02-01,78.35,-0.0063613446070176
2013-02-02,78.43333333333332,0.0010630382631771661
2013-02-03,78.51666666666667,0.0010619094127333956
2013-02-04,78.6,0.0010607829572204324
2013-02-05,78.35,-0.0031857306331309855
2013-02-06,79.1,0.009526905971578282
2013-02-07,79.02,-0.0010118897903634442
2013-02-08,78.08,-0.011967042878407566
2013-02-09,78.38666666666667,0.00391990276110742
2013-02-10,78.69333333333333,0.0039045971006296904
2013-02-11,79.0,0.003889410500447185
2013-02-12,79.0,0.0
2013-02-13,79.0,0.0
2013-02-14,79.0,0.0
2013-02-15,79.0,0.0
2013-02-16,78.97666666666667,-0.0002954022767455261
2013-02-17,78.95333333333333,-0.00029548956503668526
2013-02-18,78.93,-0.00029557690492812004
2013-02-19,78.93,0.0
2013-02-20,78.93,0.0
2013-02-21,78.924,-7.601961309675398e-05
2013-02-22,78.918,-7.602539251772989e-05
2013-02-23,78.912,-7.603117281743651e-05
2013-02-24,78.906,-7.603695399620696e-05
2013-02-25,78.9,-7.604273605426329e-05
2013-02-26,78.9,0.0
2013-02-27,78.85,-0.0006339144427813034
2013-02-28,78.84,-0.0001268311245278347
2013-03-01,78.84,0.0
2013-03-02,78.84,0.0
2013-03-03,78.84,0.0
2013-03-04,78.84,0.0
2013-03-05,78.84,0.0
2013-03-06,78.8,-0.000507485420686068
2013-03-07,78.6,-0.002541297428672644
2013-03-08,78.6325,0.0004134005433082118
2013-03-09,78.66499999999999,0.00041322971391747894
2013-03-10,78.6975,0.0004130590256522874
2013-03-11,78.73,0.00041288847833714456
2013-03-12,78.715,-0.0001905427297835484
2013-03-13,78.7,-0.00019057904323481562
2013-03-14,78.6,-0.001271455988196832
2013-03-15,78.6,0.0
2013-03-16,78.6,0.0
2013-03-17,78.6,0.0
2013-03-18,78.6,0.0
2013-03-19,78.53,-0.0008909820483775624
2013-03-20,78.3,-0.0029331143900259223
2013-03-21,78.38,0.0010211897747279776
2013-03-22,78.35499999999999,-0.00031900979630612605
2013-03-23,78.33,-0.000319111596032085
2013-03-24,78.305,-0.0003192134607498502
2013-03-25,78.28,-0.000319315390521745
2013-03-26,78.25,-0.0003833131076129011
2013-03-27,78.22,-0.0003834600928945243
2013-03-28,78.05,-0.002175722365926993
2013-03-29,78.07,0.00025621317075855956
2013-03-30,78.09,0.0002561475423843512
2013-03-31,78.11,0.00025608194762210683
2013-04-01,78.13,0.00025601638644697037
2013-04-02,78.08,-0.0006401639038158915
2013-04-03,78.08,0.0
2013-04-04,78.05,-0.00038429514339598545
2013-04-05,78.0525,3.2030236545903745e-05
2013-04-06,78.055,3.202921064298288e-05
2013-04-07,78.0575,3.202818480533999e-05
2013-04-08,78.06,3.2027159033641186e-05
2013-04-09,78.06,0.0
2013-04-10,78.05,-0.00012811479102792928
2013-04-11,78.03,-0.00025627883277115046
2013-04-12,78.03,0.0
2013-04-13,78.02,-0.00012816405015949508
2013-04-14,78.01,-0.00012818047828853197
2013-04-15,78.0,-0.0001281969106301208
2013-04-16,77.98,-0.00025644313514042313
2013-04-17,78.0,0.0002564431351403711
2013-04-18,77.98,-0.00025644313514042313
2013-04-19,77.95,-0.00038478805066570736
2013-04-20,77.95,0.0
2013-04-21,77.95,0.0
2013-04-22,77.95,0.0
2013-04-23,77.87,-0.001026825914890811
2013-04-24,77.9,0.0003851832878079639
2013-04-25,77.87,-0.00038518328780787507
2013-04-26,77.85,-0.0002568713088875589
2013-04-27,77.86666666666666,0.0002140640059549911
2013-04-28,77.88333333333334,0.000214018192363401
2013-04-29,77.9,0.00021397239837716173
2013-04-30,77.92,0.0002567064575769405
2013-05-01,77.88,-0.0005134788302807728
2013-05-02,77.92,0.0005134788302808095
2013-05-03,77.9,-0.0002567064575769941
2013-05-04,77.90666666666667,8.557614142403769e-05
2013-05-05,77.91333333333334,8.556881877469615e-05
2013-05-06,77.92,8.55614973784135e-05
2013-05-07,77.88,-0.0005134788302807728
2013-05-08,77.85,-0.00038528222399160963
2013-05-09,77.83,-0.00025693730871052155
2013-05-10,77.82,-0.00012849341488937237
2013-05-11,77.82,0.0
2013-05-12,77.82,0.0
2013-05-13,77.82,0.0
2013-05-14,77.77,-0.0006427148495555939
2013-05-15,77.77,0.0
